rank,name,confed,off,def,spi
1,Spain,UEFA,3.52,0.56,91.92
2,Brazil,CONMEBOL,2.88,0.37,90.29
3,Germany,UEFA,3.24,0.61,89.43
4,Belgium,UEFA,3.05,0.59,88.29
5,Argentina,CONMEBOL,2.67,0.41,88.04
6,England,UEFA,2.81,0.53,87.2
7,Netherlands,UEFA,2.76,0.56,86.24
8,France,UEFA,2.65,0.56,85.13
9,Colombia,CONMEBOL,2.21,0.4,83.26
10,Italy,UEFA,2.4,0.51,83.26
11,Uruguay,CONMEBOL,2.37,0.5,83.16
12,Portugal,UEFA,2.42,0.55,82.75
13,Croatia,UEFA,2.51,0.74,80.05
14,Switzerland,UEFA,2.44,0.7,79.98
15,Russia,UEFA,2.26,0.73,76.86
16,Mexico,CONCACAF,2.24,0.74,76.36
17,Chile,CONMEBOL,2.13,0.7,75.78
18,Denmark,UEFA,2.08,0.66,75.63
19,Sweden,UEFA,2.06,0.69,74.83
20,Austria,UEFA,2.02,0.72,73.34
21,Ukraine,UEFA,1.93,0.69,72.61
22,Peru,CONMEBOL,1.87,0.68,71.9
23,Serbia,UEFA,2.14,0.9,71.24
24,Algeria,CAF,1.94,0.76,71.02
25,Poland,UEFA,1.94,0.76,70.98
26,Norway,UEFA,1.94,0.79,70.35
27,Japan,AFC,1.94,0.8,70.23
28,Venezuela,CONMEBOL,1.9,0.77,70.17
29,Senegal,CAF,1.67,0.62,69.73
30,USA,CONCACAF,1.84,0.75,69.54
31,Czech Republic,UEFA,1.98,0.88,69.13
32,Morocco,CAF,1.68,0.65,69.08
33,Wales,UEFA,1.78,0.74,68.79
34,Bosnia and Herzegovina,UEFA,2.0,0.91,68.7
35,Ghana,CAF,1.53,0.57,68.24
36,Paraguay,CONMEBOL,1.75,0.75,68.07
37,Ecuador,CONMEBOL,1.81,0.8,67.79
38,Turkey,UEFA,1.8,0.8,67.73
39,Iran,AFC,1.71,0.73,67.62
40,Australia,AFC,1.92,0.9,67.34
41,Slovakia,UEFA,1.89,0.96,65.67
42,Mali,CAF,1.57,0.71,65.33
43,Nigeria,CAF,1.87,1.05,63.23
44,Tunisia,CAF,1.57,0.81,62.67
45,South Korea,AFC,1.48,0.74,62.52
46,Costa Rica,CONCACAF,1.62,0.89,61.93
47,Greece,UEFA,1.51,0.8,61.67
48,Ivory Coast,CAF,1.63,0.91,61.6
49,Iceland,UEFA,1.69,1.0,60.83
50,Romania,UEFA,1.59,0.92,60.54
51,Canada,CONCACAF,1.82,1.16,59.71
52,Iraq,AFC,1.46,0.86,59.17
53,Cameroon,CAF,1.34,0.77,58.85
54,Northern Ireland,UEFA,1.46,0.87,58.76
55,Egypt,CAF,1.49,0.91,58.7
56,Qatar,AFC,1.61,1.02,58.57
57,Scotland,UEFA,1.6,1.02,58.33
58,Rep of Ireland,UEFA,1.39,0.83,58.14
59,Finland,UEFA,1.55,0.98,58.08
60,Slovenia,UEFA,1.5,0.95,58.01
61,Uzbekistan,AFC,1.52,1.06,55.65
62,Uganda,CAF,1.23,0.8,55.18
63,Israel,UEFA,1.67,1.23,55.16
64,Honduras,CONCACAF,1.6,1.16,55.12
65,Guinea,CAF,1.45,1.05,54.43
66,Hungary,UEFA,1.48,1.08,54.32
67,Congo DR,CAF,1.45,1.06,54.13
68,Burkina Faso,CAF,1.3,0.93,53.75
69,Kosovo,UEFA,1.48,1.11,53.68
70,Zambia,CAF,1.58,1.2,53.67
71,Bolivia,CONMEBOL,1.54,1.19,53.1
72,Saudi Arabia,AFC,1.57,1.22,53.09
73,Georgia,UEFA,1.4,1.11,51.86
74,Gabon,CAF,1.19,0.94,50.81
75,Haiti,CONCACAF,1.47,1.23,50.56
76,FYR Macedonia,UEFA,1.31,1.09,50.19
77,Belarus,UEFA,1.26,1.04,50.13
78,Montenegro,UEFA,1.35,1.16,49.59
79,Panama,CONCACAF,1.29,1.09,49.55
80,South Africa,CAF,1.34,1.15,49.51
81,China PR,AFC,1.2,1.02,49.21
82,Bahrain,AFC,1.13,0.97,48.51
83,Zimbabwe,CAF,1.38,1.23,48.45
84,Libya,CAF,1.36,1.24,47.93
85,Jamaica,CONCACAF,1.31,1.22,47.08
86,Albania,UEFA,1.26,1.17,47.05
87,Bulgaria,UEFA,1.24,1.16,46.82
88,Benin,CAF,1.19,1.11,46.69
89,Tanzania,CAF,1.26,1.21,46.31
90,Kenya,CAF,1.11,1.05,46.1
91,Angola,CAF,1.18,1.13,46.05
92,Togo,CAF,1.16,1.13,45.66
93,Congo,CAF,1.27,1.27,45.12
94,Armenia,UEFA,1.52,1.58,44.57
95,Guatemala,CONCACAF,1.32,1.37,44.2
96,New Zealand,OFC,1.26,1.3,44.18
97,Cape Verde Islands,CAF,1.11,1.16,43.81
98,El Salvador,CONCACAF,1.07,1.15,42.72
99,Madagascar,CAF,1.29,1.45,41.92
100,Curacao,CONCACAF,1.29,1.47,41.53
101,Jordan,AFC,0.96,1.08,41.38
102,Oman,AFC,1.08,1.24,41.19
103,Mauritania,CAF,0.99,1.19,39.89
104,Malawi,CAF,0.7,0.84,39.67
105,Mozambique,CAF,1.1,1.35,39.43
106,United Arab Emirates,AFC,1.07,1.31,39.38
107,Gambia,CAF,1.15,1.41,39.31
108,Kuwait,AFC,1.06,1.34,38.47
109,Namibia,CAF,0.79,1.03,37.72
110,Cyprus,UEFA,1.1,1.43,37.7
111,Equatorial Guinea,CAF,0.98,1.29,37.6
112,Kazakhstan,UEFA,1.12,1.46,37.57
113,Liberia,CAF,1.05,1.37,37.46
114,Trinidad and Tobago,CONCACAF,1.09,1.44,37.24
115,Botswana,CAF,0.74,1.01,36.94
116,Luxembourg,UEFA,1.15,1.53,36.82
117,Syria,AFC,1.39,1.84,36.68
118,Rwanda,CAF,0.76,1.07,36.2
119,Estonia,UEFA,0.91,1.32,35.0
120,Cuba,CONCACAF,0.89,1.31,34.58
121,Azerbaijan,UEFA,0.96,1.41,34.5
122,Sudan,CAF,0.81,1.28,33.26
123,Bermuda,CONCACAF,1.19,1.82,32.69
124,St. Kitts and Nevis,CONCACAF,1.15,1.76,32.67
125,Lesotho,CAF,0.85,1.37,32.54
126,Lebanon,AFC,0.58,1.02,32.11
127,Guinea-Bissau,CAF,0.96,1.56,31.83
128,Vietnam,AFC,0.68,1.19,31.55
129,Dominican Republic,CONCACAF,1.1,1.78,31.24
130,Sierra Leone,CAF,0.99,1.67,30.55
131,Moldova,UEFA,0.84,1.47,30.46
132,Ethiopia,CAF,0.73,1.31,30.45
133,Lithuania,UEFA,0.99,1.68,30.4
134,Central African Republic,CAF,1.04,1.75,30.27
135,Nicaragua,CONCACAF,0.9,1.58,30.03
136,Thailand,AFC,0.9,1.59,29.77
137,Chad,CAF,0.94,1.66,29.6
138,North Korea,AFC,0.87,1.59,28.99
139,Burundi,CAF,0.76,1.43,28.95
140,Comoros,CAF,0.9,1.65,28.76
141,Palestine,AFC,0.77,1.47,28.47
142,Kyrgyzstan,AFC,0.85,1.62,28.08
143,Niger,CAF,0.87,1.73,26.83
144,Turkmenistan,AFC,0.87,1.73,26.68
145,Fiji,OFC,0.67,1.45,26.35
146,Martinique,CONCACAF,0.94,1.85,26.34
147,Latvia,UEFA,0.83,1.75,25.45
148,Guyana,CONCACAF,1.13,2.22,25.06
